para_indx,stability,freq,A1,A2,B1,B2
681,2,568,1453,1364,35,33
685,2,890,0,0,222,222
685,2,110,222,217,0,0
686,2,607,1,0,401,407
686,2,393,401,407,1,0
689,2,546,118,100,619,1319
689,2,454,576,118,119,842
692,2,701,1,1,2989,2989
692,2,299,2989,2989,1,1
695,2,466,0,0,346,347
695,2,534,347,347,0,0
698,2,754,0,0,268,268
698,2,246,268,268,0,0
699,2,858,1,0,1164,1167
699,2,142,1169,1151,1,0
700,2,819,1,1,602,602
700,2,181,602,602,1,1
701,2,957,0,1,74,74
701,2,43,34,74,1,1
702,2,619,1,1,2544,2544
702,2,381,2288,45,45,1891
716,2,575,0,0,104,104
716,2,425,2,2,2,2
725,2,735,1,1,545,545
725,2,265,546,546,1,1
726,2,31,0,1,88,82
726,2,969,2,2,1,2
728,2,110,3,3,709,709
728,2,890,709,709,7,3
731,2,591,0,0,401,399
731,2,409,385,389,0,0
735,2,980,1,1,582,582
735,2,20,582,582,1,1
744,2,983,0,0,873,872
744,2,17,867,871,0,0
745,2,430,52,68,2788,68
745,2,570,1884,68,68,68
747,2,224,0,0,533,534
747,2,776,534,534,0,0
748,2,2,4,4,1484,1484
748,2,998,143,190,218,148
753,2,497,0,0,1538,1538
753,2,503,1538,1538,0,0
754,2,648,1,1,539,539
754,2,352,540,540,1,1
755,2,21,3,3,924,912
755,2,979,939,934,2,2
756,2,263,63,87,1759,723
756,2,737,87,1609,735,87
759,2,484,1,1,1294,1220
759,2,516,54,191,817,55
764,2,743,0,0,339,340
764,2,257,340,339,0,0
766,2,810,0,0,759,758
766,2,190,759,758,0,0
769,2,3,2,2,2466,2483
769,2,997,283,150,149,194
773,2,872,1,1,1816,1816
773,2,128,1816,1816,1,1
775,2,679,80,56,2098,3310
775,2,321,81,1270,1910,100
777,2,999,1,1,3290,3348
777,2,1,3331,3348,1,1
778,2,162,0,0,1165,1167
778,2,838,1162,1168,0,0
779,2,88,2,2,2860,2860
779,2,912,2860,2860,2,2
780,2,998,1,1,3740,3740
780,2,2,3740,3678,1,1
792,2,836,4,4,471,404
792,2,164,465,383,4,3
794,2,89,3,3,674,601
794,2,911,675,670,3,3
798,2,16,5,5,579,629
798,2,984,124,34,19,83
803,2,499,0,0,614,616
803,2,501,616,614,0,0
804,2,462,148,147,146,857
804,2,538,156,949,127,147
806,2,11,1,1,5457,5457
806,2,989,5457,5457,1,1
807,2,553,0,1,2005,2008
807,2,447,2000,2008,0,0
810,2,998,90,93,326,95
810,2,2,5682,5681,2,2
812,2,469,17,63,2057,363
812,2,531,63,391,1364,63
815,2,1,10,10,1594,1594
